번호,유형,문제,보기1,보기2,보기3,보기4,정답,해설,해석,힌트
1,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. The appellate court reversed the initial judgment, ruling that the non-disclosure agreement was ______ from its inception because the signing party completely lacked the requisite legal capacity under statutory law.",valid,enforceable,void,registered,3,법률행위 능력이 없는 자가 체결한 계약은 처음부터 효력이 없는 무효(void)가 됩니다.
2,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. Under the provisions of the Constitution, no citizen shall be deprived of life, liberty, or property without ______ process of law, which serves as a fundamental safeguard against arbitrary state intervention.",fair,due,judicial,formal,2,적법절차는 영어로 due process of law입니다.
3,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. During the intense cross-examination, the defense attorney strongly objected to the line of questioning, arguing that the prosecutor's inquiries were highly ______ and designed to prejudice the jury.",relevant,confidential,misleading,constitutional,3,배심원에게 선입견을 주거나 오해를 유발하는 질문은 misleading입니다.
4,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. Despite the extensive circumstantial clues presented by the prosecution, the criminal defendant was ultimately found not guilty due to a lack of concrete, admissible ______ to prove guilt beyond a reasonable doubt.",punishment,evidence,authority,jurisdiction,2,유죄 입증에 필요한 것은 증거(evidence)입니다.
5,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. Finding the defendant liable for the extensive breach of contract, the civil court ordered the corporation to fully ______ the damaged property to its original condition before the incident occurred.",restore,ignore,deny,suspend,1,restore는 원상회복하다라는 뜻입니다.
6,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. The legislative body issued a stern warning that any corporate entity that intentionally violates the revised anti-monopoly regulations shall be subject to severe criminal ______ and administrative fines.",benefits,licenses,penalties,permissions,3,criminal penalties는 형사처벌을 뜻합니다.
7,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. The Supreme Court reaffirmed that the Constitution guarantees not only freedom of speech but also freedom of ______, thereby protecting symbolic acts and artistic displays from state censorship.",punishment,expression,litigation,testimony,2,freedom of expression은 표현의 자유입니다.
8,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. The suspect filed a motion to suppress his initial statements, claiming with absolute certainty that his confession had been obtained by physical and psychological ______ during an unrecorded overnight interrogation.",consent,evidence,coercion,negotiation,3,강압에 의한 자백에서 coercion이 적절합니다.
9,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. In a landmark civil rights ruling, the constitutional court emphasized that all citizens, regardless of their socio-economic status or political affiliation, must stand completely equal before the ______.",jury,legislation,law,constitutionality,3,equal before the law는 법 앞의 평등입니다.
10,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. Recognizing probable cause that illegal documents and stolen assets were being stored on the premises, the police officers obtained a comprehensive search ______ signed by the local magistrate.",jury,court,warrant,attorney,3,수색영장은 search warrant입니다.
11,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. Fearing that his words might be misinterpreted by the media or used by prosecutors, the defense lawyer firmly advised his client not to make any further public ______ without legal counsel present.",testimonies,statutes,statements,precedents,3,공식 발언이나 진술은 statements가 자연스럽습니다.
12,빈칸추론형,"다음 빈칸에 들어갈 가장 알맞은 어휘를 고르시오. Under the strictly enforced exclusionary rule, critical physical evidence was barred from the trial because investigators had obtained it ______ without a proper warrant or urgent necessity.",legally,properly,unlawfully,carefully,3,위법하게 수집된 증거이므로 unlawfully가 맞습니다.
